#  L TT            EE            BB            TE            PP            PT            PE           
  70 9.3257852e+02 2.5245995e-01 4.5243103e-04 -1.5171253e+00 1.1105145e-07 7.6878330e-04 -4.3759425e-06
  71 9.3772014e+02 2.6342222e-01 4.6360916e-04 -1.5401329e+00 1.1030396e-07 7.5818209e-04 -4.4749029e-06
  72 9.4292674e+02 2.7527406e-01 4.7474599e-04 -1.5522257e+00 1.0955780e-07 7.4800818e-04 -4.6905697e-06
  73 9.4830802e+02 2.8777812e-01 4.8584600e-04 -1.5597896e+00 1.0881296e-07 7.3823254e-04 -5.0032177e-06
  74 9.5386967e+02 3.0069113e-01 4.9691506e-04 -1.5681405e+00 1.0806946e-07 7.2882612e-04 -5.3931480e-06
  75 9.5960995e+02 3.1376907e-01 5.0796040e-04 -1.5822602e+00 1.0732723e-07 7.1975978e-04 -5.8406851e-06
  76 9.6548391e+02 3.2677320e-01 5.1899049e-04 -1.6065839e+00 1.0658639e-07 7.1100196e-04 -6.3283642e-06
  77 9.7137761e+02 3.3949786e-01 5.3001504e-04 -1.6428248e+00 1.0584723e-07 7.0251010e-04 -6.8474786e-06
  78 9.7728990e+02 3.5174338e-01 5.4104487e-04 -1.6932414e+00 1.0511004e-07 6.9423841e-04 -7.3915104e-06
  79 9.8327905e+02 3.6331086e-01 5.5209189e-04 -1.7603895e+00 1.0437520e-07 6.8614168e-04 -7.9539532e-06
  80 9.8938104e+02 3.7400139e-01 5.6316894e-04 -1.8469732e+00 1.0364304e-07 6.7817463e-04 -8.5283067e-06
  81 9.9563296e+02 3.8360012e-01 5.7428976e-04 -1.9551181e+00 1.0291386e-07 6.7029844e-04 -9.1038144e-06
  82 1.0020540e+03 3.9182988e-01 5.8546882e-04 -2.0853774e+00 1.0218793e-07 6.6250205e-04 -9.6527112e-06
  83 1.0086274e+03 3.9839605e-01 5.9672126e-04 -2.2380969e+00 1.0146546e-07 6.5478086e-04 -1.0142997e-05
  84 1.0153585e+03 4.0300478e-01 6.0806275e-04 -2.4133255e+00 1.0074663e-07 6.4713005e-04 -1.0542693e-05
  85 1.0222454e+03 4.0536145e-01 6.1950939e-04 -2.6114833e+00 1.0003173e-07 6.3954551e-04 -1.0819858e-05
  86 1.0292871e+03 4.0532573e-01 6.3107756e-04 -2.8317788e+00 9.9320888e-08 6.3202347e-04 -1.0951765e-05
  87 1.0364420e+03 4.0336247e-01 6.4278383e-04 -3.0702816e+00 9.8614255e-08 6.2456550e-04 -1.0952544e-05
  88 1.0436772e+03 4.0008933e-01 6.5464481e-04 -3.3222214e+00 9.7911891e-08 6.1717417e-04 -1.0845511e-05
  89 1.0509891e+03 3.9612395e-01 6.6667706e-04 -3.5829018e+00 9.7213900e-08 6.0985202e-04 -1.0653960e-05
  90 1.0583669e+03 3.9207950e-01 6.7889691e-04 -3.8477752e+00 9.6520365e-08 6.0260169e-04 -1.0401167e-05
  91 1.0658096e+03 3.8846684e-01 6.9132042e-04 -4.1128215e+00 9.5831346e-08 5.9542569e-04 -1.0107285e-05
  92 1.0733171e+03 3.8537035e-01 7.0396319e-04 -4.3773201e+00 9.5146877e-08 5.8832628e-04 -9.7800441e-06
  93 1.0809068e+03 3.8276838e-01 7.1684029e-04 -4.6410038e+00 9.4466969e-08 5.8130599e-04 -9.4240701e-06
  94 1.0885735e+03 3.8064148e-01 7.2996614e-04 -4.9039022e+00 9.3791669e-08 5.7436726e-04 -9.0439848e-06
  95 1.0963345e+03 3.7896724e-01 7.4335441e-04 -5.1657483e+00 9.3120955e-08 5.6751221e-04 -8.6444010e-06
  96 1.1041848e+03 3.7772474e-01 7.5701793e-04 -5.4263490e+00 9.2454884e-08 5.6074350e-04 -8.2299367e-06
